ITEM;Notas de Ingreso de enfermeria/obstetricia;Notas de Evolucion de enfermeria/obstetricia;Hoja de Grafica de Signos vitales;Hoja de balance hidrico;Kardex;Firma del Profesional;Sello del Profesional
1;1;2;2;4;2;1;1
2;1;2;2;4;1;1;1
3;1;2;2;4;1;1;1
4;1;1;2;4;1;1;1
5;1;1;1;4;2;1;1
6;1;2;2;4;2;1;1
7;1;2;1;4;2;1;1
8;1;1;1;4;1;1;1
9;1;1;1;4;2;1;1
10;1;1;2;4;1;1;1
11;1;2;1;4;1;1;1
12;1;1;2;4;1;1;1
13;1;1;2;4;1;1;1
14;2;1;2;4;1;1;1
15;2;2;1;4;1;1;1
16;2;1;1;4;2;1;1
17;1;1;1;4;1;1;1
18;1;1;2;4;2;1;1
19;1;1;1;4;1;1;1
20;1;1;1;4;1;1;1
21;1;1;1;4;1;1;1
22;1;2;1;4;2;1;1
23;2;2;2;4;1;1;1
24;1;1;1;4;1;1;1
25;1;2;1;4;2;1;1
26;2;1;1;4;2;1;1
27;2;1;2;4;1;1;1
28;1;1;1;4;2;1;1
29;1;1;1;4;2;1;1
30;1;1;2;4;1;1;1
31;1;1;2;4;1;1;1
32;1;1;1;4;1;1;1
33;1;1;2;4;2;1;1
34;1;1;2;4;1;1;1
35;2;1;2;4;1;1;1
36;2;2;1;4;1;1;1
37;1;1;2;4;1;1;1
38;1;2;1;4;1;1;1
39;1;2;1;4;1;1;1
40;1;1;2;4;2;1;1
41;2;2;1;4;1;1;1
42;1;2;2;4;2;1;1
43;1;2;2;4;1;1;1
44;1;2;2;4;1;1;1
45;1;2;1;4;1;1;1
46;1;1;1;4;1;1;1
47;1;2;1;4;1;1;1
48;1;1;2;4;2;1;1
49;1;2;2;4;2;1;1
50;1;1;2;4;2;1;1
51;1;1;1;4;1;1;1
52;1;2;2;4;1;1;1
53;1;1;2;4;1;1;1
54;1;1;3;4;1;1;1
55;1;2;1;1;2;1;1
56;1;1;1;4;2;1;1
57;1;1;1;1;2;1;1
58;1;2;2;1;2;1;1
59;1;1;1;4;2;1;1
60;1;2;2;4;1;1;1
61;1;2;1;4;1;1;1
62;1;1;1;4;2;1;1
63;1;1;2;4;2;1;1
64;1;2;1;4;1;1;1
65;1;2;1;4;1;1;1
66;1;2;1;4;1;1;1
67;2;1;1;4;1;1;1
68;1;1;2;4;2;1;1
69;1;2;2;4;2;1;1
70;1;2;1;4;1;1;1
71;2;1;2;4;2;1;1
72;1;2;1;4;1;1;1
73;1;2;2;4;2;1;1
74;1;2;1;4;1;1;1
75;1;1;1;3;1;1;1
76;1;1;2;4;1;1;1
77;2;1;1;4;2;1;1
78;1;2;1;4;1;1;1
79;1;1;1;4;1;1;1
80;2;2;1;4;2;1;1
81;1;1;2;4;1;1;1
82;2;1;2;4;1;1;1
83;1;2;1;4;1;1;1
84;1;1;1;4;2;2;1
85;1;1;2;4;2;1;1
86;1;2;1;4;2;1;1
87;2;1;2;4;2;1;1
88;1;2;1;4;1;1;1
89;1;1;1;4;1;1;1
90;1;1;2;4;1;1;1
91;1;1;2;4;1;1;1
92;2;1;2;4;1;1;1
93;1;1;2;4;2;1;1
94;2;2;2;4;1;1;1
95;1;1;2;4;1;1;1
96;2;1;2;4;1;1;1
97;1;1;2;4;1;1;1
98;2;2;2;4;1;1;1
99;1;1;2;4;1;1;1
100;1;2;1;4;2;1;1
101;1;2;2;4;2;1;1
102;1;2;1;4;1;1;1
103;1;1;1;4;2;1;1
104;1;1;2;4;1;1;1
105;1;1;1;4;3;1;1
106;1;1;1;4;1;1;1
107;1;1;1;4;1;1;1
108;2;2;1;4;2;1;1
109;1;2;1;4;2;1;1
110;1;1;1;4;2;1;1
111;1;1;1;4;2;1;1
112;2;1;2;4;1;1;1
113;1;1;1;4;2;1;1
114;1;1;2;4;1;1;1
115;1;1;1;4;1;1;1
116;2;1;1;4;2;1;1
117;1;1;1;4;2;1;1
118;1;1;2;4;1;1;1
119;2;2;1;4;1;1;1
120;1;1;1;4;1;1;1
121;1;1;2;4;2;1;1
122;1;2;1;4;1;1;1
123;1;2;1;4;2;1;1
124;2;2;1;4;2;1;2
125;1;2;1;4;1;1;1
126;1;1;1;4;2;1;1
127;1;1;1;4;1;2;2
128;2;1;2;4;2;1;1
129;2;1;2;4;2;1;1
130;1;1;1;4;1;1;1
131;1;1;1;4;1;1;1
132;2;2;2;4;2;1;1
133;1;2;2;4;2;1;1
134;1;1;1;4;2;2;2
135;2;2;2;4;1;1;2
136;1;1;1;4;1;2;2
137;1;1;1;4;1;2;2
138;2;2;1;4;2;1;1
139;1;1;1;4;1;1;1
140;1;1;1;4;2;2;2
141;2;2;2;4;2;1;1
142;1;1;2;4;1;1;1
143;1;1;2;4;1;1;1
144;1;1;2;4;1;1;1
145;1;1;2;4;3;1;1
146;1;1;2;4;1;1;1
147;1;1;1;4;2;1;1
148;1;1;2;4;2;1;1
149;1;1;2;4;2;1;1
150;1;1;2;4;1;1;1
151;1;1;1;4;1;1;1
152;1;2;1;4;1;1;1
153;1;2;2;4;1;1;1
154;1;1;1;4;1;1;1
155;2;1;1;4;1;1;1
156;1;1;2;4;1;2;1
157;1;2;2;4;1;1;1
158;2;2;1;4;1;1;1
159;2;1;2;4;1;1;1
160;1;2;1;2;1;1;1
161;1;1;2;4;2;1;1
162;1;1;2;4;2;1;1
163;1;2;2;4;2;1;1
164;1;2;1;4;2;1;1
165;1;1;2;4;2;1;1
166;2;1;2;4;1;1;1
167;1;1;1;4;2;1;1
168;1;1;2;4;1;1;1
169;1;1;1;4;1;1;1
170;1;2;2;4;1;1;1
171;1;2;2;4;2;2;2
172;2;1;2;4;2;1;1
173;2;1;2;4;1;1;1
174;1;1;2;4;1;1;1
175;1;2;2;4;1;1;1
176;2;2;2;4;2;2;2
177;2;1;1;4;2;1;1
178;2;1;1;4;2;1;1
179;1;1;1;4;2;1;1
180;2;1;2;4;2;1;1
181;1;2;2;4;2;1;1
182;1;1;1;4;1;1;1
183;1;1;2;4;2;1;1
184;1;1;2;4;2;2;1
185;1;2;2;4;1;1;1
186;1;1;2;4;2;1;1
187;2;1;2;4;3;1;1
188;1;2;2;4;1;1;1
189;1;2;2;4;1;1;1
190;2;2;2;4;2;1;1
191;1;2;1;4;1;1;1
192;2;2;1;4;2;1;1
193;1;2;1;4;1;1;1
194;2;2;2;4;1;1;1
195;1;2;2;4;1;1;1
196;1;2;2;4;1;1;1
197;1;2;1;4;1;1;1
198;1;2;2;4;2;2;2
199;1;2;2;4;1;1;1
200;1;2;2;4;2;2;2
201;1;2;2;4;1;1;1
202;1;2;1;4;1;1;1
203;1;2;2;4;1;1;1
204;1;2;1;4;1;1;1
205;1;2;1;4;1;1;1
206;1;2;1;4;1;1;1
207;3;2;2;4;2;1;1
208;1;2;1;4;1;1;1
209;1;2;2;4;2;1;1
210;1;2;1;4;1;1;1
211;1;2;1;4;1;1;1
212;1;2;1;4;1;1;1
213;1;2;1;4;1;1;1
214;1;2;1;4;1;1;1
215;1;2;1;4;1;1;1
216;1;2;2;4;1;1;1
217;1;2;2;4;1;1;1
218;1;2;2;4;2;1;1
219;1;2;2;4;1;1;1
220;1;2;2;4;1;1;1
221;2;2;2;4;1;1;1
222;2;2;2;4;2;1;1
223;1;2;1;4;1;1;1
224;1;2;1;4;1;1;1
225;1;2;2;4;2;1;1
226;1;2;1;4;3;1;1
227;1;2;2;4;2;1;1
228;1;2;1;4;1;1;1
229;1;2;2;4;2;1;1
230;1;2;2;4;1;1;1
231;1;2;2;4;1;1;1
232;1;2;2;4;1;1;1
233;1;2;2;4;1;1;1
234;1;2;2;4;1;1;1
235;1;2;2;4;1;1;1
236;1;2;2;4;1;1;1
237;1;2;2;4;1;1;1
238;1;2;2;4;1;1;1
239;1;2;2;4;1;1;1
240;1;2;1;4;1;1;1
241;1;2;2;4;1;1;1
242;1;1;1;4;2;1;1
243;1;2;2;4;2;1;1
244;1;2;2;4;1;1;1
245;1;2;2;4;1;1;1
246;1;2;1;4;1;1;1
247;1;2;2;4;1;1;1
248;1;2;2;4;1;1;1
249;1;2;1;4;2;1;1
250;1;2;2;4;2;1;1
251;1;2;2;4;1;1;1
252;1;1;2;4;1;1;1
253;1;1;2;4;2;1;1
254;1;1;2;4;1;1;1
255;1;1;2;4;1;1;1
256;2;1;2;4;1;1;1
257;1;2;2;4;2;1;1
258;1;1;2;4;1;1;1
259;1;1;1;4;1;1;1
260;1;1;1;4;1;1;1
261;1;1;2;4;1;1;1
262;1;1;2;4;2;1;1
263;1;2;2;4;1;1;1
264;1;2;2;4;1;1;1
265;1;1;2;4;3;2;2
266;1;2;2;4;2;2;2
267;1;1;2;4;2;1;1
268;1;2;2;4;2;1;1
269;1;2;2;4;1;1;1
270;1;2;2;4;1;1;1
271;2;1;2;4;1;1;1
272;1;1;2;4;1;2;2
273;1;2;2;4;2;1;1
274;1;1;2;4;2;1;1
275;1;2;2;4;1;1;1
276;2;2;2;4;1;1;1
277;2;2;2;4;1;1;1
278;1;1;2;4;1;1;1
279;1;1;2;4;1;1;1
280;2;1;2;4;1;1;1
281;1;1;2;4;1;1;1
282;1;1;2;4;1;1;1
283;1;1;2;4;1;1;1
284;1;1;2;4;1;1;1
285;1;1;2;4;1;1;1
286;1;1;2;4;2;1;1
287;1;1;2;4;1;1;1
288;1;1;2;4;2;1;1
289;1;1;2;4;1;1;1
290;1;1;2;4;1;1;1
291;2;1;2;4;2;1;1
292;1;1;2;4;1;1;1
293;1;1;2;4;1;1;1
294;1;1;2;4;1;1;1
295;1;1;2;4;2;1;1
296;1;1;2;4;1;1;1
297;1;1;2;4;1;1;1
298;1;1;2;4;1;1;1
299;1;1;2;4;1;1;1
300;1;1;2;4;1;1;1
301;2;1;2;4;2;1;1
302;1;2;2;4;1;1;1
303;1;1;2;4;2;1;1
304;1;1;2;4;2;1;1
305;1;2;2;4;2;1;1
306;1;1;2;4;1;1;1
307;1;1;2;4;2;1;1
308;1;1;2;4;1;1;1
309;1;1;2;4;1;1;1
310;1;1;2;4;2;2;2
311;1;2;2;4;2;1;1
312;1;1;2;4;1;1;1
313;1;1;2;4;1;1;1
314;1;1;2;4;2;1;1
315;1;1;2;4;1;1;1
316;2;2;2;4;1;1;1
317;1;2;1;4;1;1;1
318;1;2;2;4;1;1;1
319;1;2;2;4;1;1;1
320;1;2;2;4;1;1;1
321;1;2;2;4;1;1;1
322;1;2;2;4;2;1;1
323;1;2;2;4;1;1;1
324;1;2;2;4;1;1;1
325;1;2;2;4;2;1;1
326;1;1;3;4;1;1;1
327;1;1;1;4;1;1;1
328;1;1;2;4;1;1;1
329;1;1;2;4;2;1;1
330;1;1;1;4;1;1;1
331;1;2;2;4;2;1;1
332;2;2;2;4;2;1;1
333;1;1;1;4;1;1;1
334;1;1;1;1;1;1;1
335;2;2;1;4;1;1;1
336;1;2;2;3;2;1;1
